,Churn
2790,1
898,1
3965,0
5201,0
1274,0
2517,1
6259,0
1653,0
3432,0
4391,0
993,0
4502,1
4187,0
3992,0
3376,0
36,1
1854,1
1343,0
6281,0
2337,1
2444,1
7009,1
614,0
507,1
1291,1
2275,1
756,0
4739,0
745,0
5581,1
764,0
6128,0
4098,1
2139,0
5237,0
6752,0
2697,0
6668,0
6839,1
2520,0
3085,1
1919,1
5430,1
221,0
6692,0
3860,0
5276,0
559,0
5360,1
5128,0
5122,0
1110,0
1930,0
4945,0
5326,1
4651,1
3150,0
4461,0
4586,0
2097,0
3161,0
2922,1
6572,0
3341,0
263,0
4742,0
6086,0
5579,1
3209,1
5533,0
5831,1
4114,0
338,0
1342,0
2508,0
1427,0
5272,1
4694,0
1381,0
3728,0
1889,0
5057,0
6177,1
2211,0
6656,0
154,0
5889,0
1067,0
5860,1
623,0
1141,0
3731,0
4457,0
2405,1
4938,1
6489,1
4183,0
4489,0
2797,1
5134,1
6724,1
2823,0
6522,0
4753,1
5358,0
522,0
1497,0
2887,1
3342,0
4931,0
6903,0
1751,1
4733,0
1084,0
7038,0
778,0
2243,0
1779,0
5940,0
1877,0
632,0
5470,0
3374,1
162,0
1126,1
6769,0
3569,0
1512,0
3221,0
2161,1
6376,0
1004,0
3634,0
5724,1
1115,0
986,0
4099,0
1684,0
2200,0
3999,1
4816,0
380,0
3324,0
3118,0
1293,0
4227,0
4722,0
5687,0
1633,0
931,0
5942,1
3635,0
90,0
4127,0
105,0
2700,0
3392,0
5682,0
1655,1
4886,0
339,1
1185,1
6313,1
5403,0
6728,0
1346,1
5352,0
2542,0
2911,1
5051,0
4002,0
702,0
6204,0
3203,0
1925,0
2650,0
6744,0
652,0
6930,1
4200,0
4539,1
3648,0
2216,0
6050,0
112,0
6919,0
4374,0
6476,0
4058,1
4719,1
1353,0
4798,0
1500,0
5910,0
2723,0
6664,0
2935,0
4543,0
4321,0
4923,0
5478,0
5043,1
2857,0
484,1
6560,0
6991,1
2924,1
2299,0
1234,0
836,0
1646,0
2327,0
2101,1
4876,1
2150,0
242,0
6338,0
1408,0
3069,0
148,0
1114,0
4214,1
2925,0
3894,0
2507,0
337,0
5576,1
4280,0
1446,0
2810,0
6844,0
5073,0
6263,0
1493,0
249,0
2356,0
1661,0
1489,0
5350,0
5476,1
5661,0
6640,0
6563,1
526,0
266,0
1705,0
314,1
700,0
749,0
1433,0
4188,1
6578,0
901,1
1046,0
5198,1
2395,0
5228,0
5683,1
5058,0
5426,0
1962,0
3854,0
1774,0
205,0
5333,1
3748,0
6413,1
4681,1
603,0
5328,0
4108,0
6442,0
3495,1
5492,0
77,0
4463,1
4815,1
1088,1
1090,0
4166,0
1452,0
4452,0
1062,0
4829,0
5234,0
308,0
94,0
4456,0
4249,0
3151,0
4364,0
5829,0
6495,1
287,1
6712,0
6444,1
5527,0
4053,0
188,0
4024,0
654,1
6853,1
7026,1
2208,1
6648,0
6929,0
1843,0
3554,0
5339,0
2638,1
3980,1
6351,1
1339,1
4268,0
1055,0
6339,1
1388,0
1376,1
5511,0
3777,0
4656,0
4620,0
5029,0
3038,0
1947,0
1673,1
152,0
4634,0
2147,0
5385,1
1560,0
4061,0
71,0
6774,0
1735,0
6165,0
2209,0
2363,0
3240,1
3644,0
5639,0
3309,0
1749,0
197,0
3072,0
6766,0
4668,0
2655,1
1534,0
1363,0
2981,0
126,1
177,1
2088,0
5135,0
1978,0
2022,0
6048,1
4094,0
882,1
1397,0
6946,0
4628,0
6987,0
6757,1
3564,0
1977,0
3586,1
835,0
4384,1
3379,0
2378,1
5560,0
121,0
905,1
6783,0
6094,0
1828,0
2601,0
6064,1
6940,0
5695,0
747,0
3562,1
5834,0
3369,0
5020,0
1459,0
4648,0
2477,0
2664,0
1109,0
4740,1
6037,0
6519,0
3986,0
5899,0
6445,0
4022,0
2658,0
2829,1
1362,1
5251,1
4289,0
6798,0
1309,1
434,0
1317,0
1000,1
1085,1
2386,0
1475,0
525,0
4905,0
580,1
18,1
4195,0
4309,0
4013,0
1351,0
3949,0
5900,1
982,0
6228,0
6321,1
4570,0
6756,0
1113,1
2059,0
5836,0
5756,0
4711,0
3637,1
2680,0
1174,0
2438,1
489,1
2496,0
2109,0
962,0
2871,1
3136,1
648,1
521,0
4285,0
134,1
4789,1
3270,0
6170,0
5416,0
1964,0
4434,0
4590,0
2523,0
5018,0
2848,0
5402,0
6832,0
1318,0
1189,0
6952,1
2235,0
5336,0
3744,0
4184,1
491,0
903,0
3740,0
5332,0
1002,0
6183,0
6690,0
3650,0
497,0
1443,0
5555,0
1581,0
2309,0
5355,0
6132,0
6102,0
5069,1
5846,0
6323,0
3082,0
3577,1
3953,1
2354,0
6244,0
6277,1
1563,0
5098,1
5455,0
2604,0
589,0
6834,0
915,1
3397,0
2637,0
1817,0
917,0
2341,0
3030,1
6059,0
4437,0
2562,0
5926,0
6187,0
268,1
2030,0
1723,0
4636,0
1904,1
4884,0
1712,0
2184,1
4707,0
6890,0
1623,0
4591,0
3587,1
5786,0
4467,0
1531,0
4324,0
6378,1
3557,0
3086,0
4126,0
2173,0
3456,0
6748,1
5960,0
4201,0
1013,0
87,0
5575,0
1948,1
2798,1
238,1
4526,0
802,0
291,0
5757,0
4458,1
2432,0
5421,0
3726,1
4343,1
4133,0
6198,0
558,0
4524,1
427,0
4964,1
2906,0
4683,0
6456,0
2164,0
5660,0
4737,0
2108,0
2084,1
463,1
1104,0
1642,0
5449,0
4064,0
5521,0
5832,1
2247,0
4225,0
6969,1
1209,0
5759,1
3678,0
1770,1
6911,0
3541,0
658,1
1579,1
4297,0
2895,0
6584,0
4934,0
147,1
3074,0
457,0
5142,0
3000,1
3340,1
2182,0
6550,1
5079,0
2445,0
6149,0
6577,0
1465,0
4410,0
1797,0
3382,0
5110,0
2577,1
4658,0
5190,0
3755,1
6552,1
2789,0
3108,0
3531,0
4204,0
2749,0
6938,0
6846,1
573,1
2886,0
4813,0
977,0
3835,0
5868,0
5775,0
2706,1
3901,0
5384,0
627,0
1820,0
4787,0
657,0
2979,0
5858,0
2417,0
4579,0
564,0
6431,0
1009,0
1487,0
